open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,amount,VWEMA12,VWEMA26,MACD,VW_Signal,VW_Hist
2025-09-22 16:00:00,2.642,2.654,2.572,2.618,2470067.45,2025-09-22 19:59:59.999,6457771.4536,28839,1196092.51,3126892.97207,0.0,6466636.584100001,2.618,2.618,0.0,0.0,0.0
2025-09-22 20:00:00,2.618,2.653,2.614,2.64,823461.36,2025-09-22 23:59:59.999,2167069.7489,11164,384738.61,1012849.73862,0.0,2173937.9904,2.6192572947966086,2.618571499918195,0.0006857948784135814,0.0001371589756827163,0.0005486359027308651
2025-09-23 00:00:00,2.64,2.652,2.583,2.645,704799.48,2025-09-23 03:59:59.999,1847984.2012,10907,296611.84,778903.36931,0.0,1864194.6246,2.6206641027574267,2.6191912360297254,0.0014728667277013052,0.00040430052608643414,0.001068566201614871
2025-09-23 04:00:00,2.645,2.705,2.618,2.683,1132319.23,2025-09-23 07:59:59.999,3022035.79316,16554,635336.95,1695056.66081,0.0,3038012.4940899997,2.6265241043752607,2.621685953284063,0.004838151091197673,0.001291070639108682,0.0035470804520889914
2025-09-23 08:00:00,2.684,2.731,2.68,2.731,1370479.36,2025-09-23 11:59:59.999,3706725.65405,18190,741791.92,2007205.82003,0.0,3742779.13216,2.6389074577551295,2.627000888782827,0.011906568972302356,0.003414170305747417,0.008492398666554938
2025-09-23 12:00:00,2.73,2.784,2.713,2.763,2365573.67,2025-09-23 15:59:59.999,6518121.61207,28470,1151223.35,3172083.66667,0.0,6536080.05021,2.663069555115457,2.638303147678631,0.024766407436825677,0.0076846177319630695,0.017081789704862606
2025-09-23 16:00:00,2.763,2.826,2.721,2.742,2724007.45,2025-09-23 19:59:59.999,7544967.18386,35454,1306574.71,3621155.31286,0.0,7469228.4279000005,2.6796033547134313,2.6480166464095407,0.03158670830389054,0.012465035846348565,0.019121672457541976
2025-09-23 20:00:00,2.741,2.808,2.738,2.771,812900.6,2025-09-23 23:59:59.999,2254987.70353,11174,421031.69,1168032.64597,0.0,2252547.5626,2.6858909378945617,2.65162070652908,0.034270231365481685,0.01682607495017519,0.017444156415306496
2025-09-24 00:00:00,2.772,2.853,2.764,2.765,1581205.92,2025-09-24 03:59:59.999,4445620.00941,23440,820589.13,2309709.29978,0.0,4372034.3688,2.6966932939068418,2.658195897531882,0.03849739637495997,0.021160339235132147,0.017337057139827822
2025-09-24 04:00:00,2.765,2.845,2.727,2.832,1396528.69,2025-09-24 07:59:59.999,3893992.21837,22803,666835.63,1860420.7988,0.0,3954969.2500799997,2.7135726664723574,2.667306284817648,0.04626638165470931,0.02618154771904758,0.02008483393566173
2025-09-24 08:00:00,2.833,2.864,2.769,2.802,2087492.77,2025-09-24 11:59:59.999,5870947.96049,27124,919018.62,2587105.31511,0.0,5849154.74154,2.7295408645233987,2.6778148931271795,0.05172597139621926,0.03129043245448192,0.020435538941737344
2025-09-24 12:00:00,2.802,2.833,2.774,2.78,1211547.67,2025-09-24 15:59:59.999,3395381.68585,16431,550404.57,1543780.97136,0.0,3368102.5225999993,2.7351019896935993,2.6825790862060783,0.05252290348752098,0.035536926661089735,0.016985976826431243
2025-09-24 16:00:00,2.781,2.822,2.772,2.801,781947.01,2025-09-24 19:59:59.999,2187525.03187,9112,446451.07,1249460.46336,0.0,2190233.5750100003,2.7402120697622943,2.6863064461379382,0.053905623624356025,0.039210666053742994,0.01469495757061303
2025-09-24 20:00:00,2.801,2.809,2.773,2.784,385549.45,2025-09-24 23:59:59.999,1075406.56013,5707,175205.84,488907.32751,0.0,1073369.6687999999,2.742105151888767,2.687916893303258,0.05418825858550891,0.04220618456009618,0.01198207402541273
2025-09-25 00:00:00,2.785,2.788,2.711,2.726,1178072.37,2025-09-25 03:59:59.999,3234696.84082,12910,518219.96,1422130.64573,0.0,3211425.2806200003,2.739930350372953,2.6898817157983212,0.05004863457463182,0.04377467456300331,0.006273960011628513
2025-09-25 04:00:00,2.725,2.727,2.674,2.686,1126665.25,2025-09-25 07:59:59.999,3039930.27827,13960,512779.69,1384336.39377,0.0,3026222.8615,2.7327891166908205,2.6896853283081392,0.04310378838268125,0.0436404973269389,-0.0005367089442576481
2025-09-25 08:00:00,2.687,2.7,2.654,2.66,778433.27,2025-09-25 11:59:59.999,2083735.44748,10747,330376.87,884804.96487,0.0,2070632.4982000003,2.7256868703714945,2.6886054157435795,0.03708145462791501,0.042328688787134125,-0.0052472341592191135
2025-09-25 12:00:00,2.66,2.746,2.63,2.695,1311586.89,2025-09-25 15:59:59.999,3529856.1394,19477,587000.32,1580233.84902,0.0,3534726.6685499996,2.7206946058763726,2.6890024431992976,0.031692162677074975,0.040201383565122296,-0.008509220888047321
2025-09-25 16:00:00,2.695,2.702,2.594,2.618,1623462.74,2025-09-25 19:59:59.999,4276337.59264,21391,764329.54,2014168.40155,0.0,4250225.453319999,2.700953347603278,2.6835608992348274,0.01739244836845044,0.03563959652578793,-0.018247148157337488
2025-09-25 20:00:00,2.619,2.624,2.573,2.591,807692.04,2025-09-25 23:59:59.999,2097821.37363,12547,361182.21,939238.01807,0.0,2092730.0756400002,2.689787693084318,2.6799000804120543,0.009887612672263568,0.03048919975508306,-0.020601587082819492
2025-09-26 00:00:00,2.592,2.629,2.584,2.618,700979.86,2025-09-26 03:59:59.999,1830381.08483,12395,336577.33,879808.06207,0.0,1835165.27348,2.683015871281387,2.6776874091686755,0.005328462112711652,0.02545705222660878,-0.02012859011389713
2025-09-26 04:00:00,2.619,2.627,2.595,2.621,630638.82,2025-09-26 07:59:59.999,1647191.07584,9733,287472.75,751349.23597,0.0,1652904.3472199999,2.6773629248070767,2.6757846514283554,0.0015782733787212955,0.020681296457031286,-0.01910302307830999
2025-09-26 08:00:00,2.622,2.628,2.575,2.591,503291.34,2025-09-26 11:59:59.999,1307815.29551,8783,229600.0,597210.71335,0.0,1304027.8619400002,2.6705258581826823,2.6734007378806477,-0.0028748796979654045,0.015970061226031947,-0.018844940923997352
2025-09-26 12:00:00,2.59,2.591,2.526,2.56,1383973.72,2025-09-26 15:59:59.999,3537273.32366,23147,631283.22,1613683.30244,0.0,3542972.7232,2.647908892805733,2.6646611508798297,-0.016752258074096638,0.009425597366006231,-0.02617785544010287
2025-09-26 16:00:00,2.56,2.625,2.554,2.588,669627.9,2025-09-26 19:59:59.999,1738108.18302,10536,374874.48,972947.57149,0.0,1732997.0052,2.6416332150797617,2.661693362993694,-0.02006014791393218,0.003528448310018549,-0.02358859622395073
2025-09-26 20:00:00,2.589,2.606,2.578,2.604,332394.08,2025-09-26 23:59:59.999,860775.50293,5291,205209.62,531486.4503,0.0,865554.1843200001,2.6394544495568413,2.6605203419607935,-0.02106589240395218,-0.0013904198327755965,-0.019675472571176585
2025-09-27 00:00:00,2.604,2.609,2.579,2.597,372944.37,2025-09-27 03:59:59.999,966725.23952,6197,189527.25,491482.26405,0.0,968536.52889,2.636427663948656,2.658992997099882,-0.022565333151225886,-0.005625402496465655,-0.01693993065476023
2025-09-27 04:00:00,2.596,2.611,2.591,2.603,418172.24,2025-09-27 07:59:59.999,1087309.06321,7531,226203.45,588174.42805,0.0,1088502.34072,2.63354217012679,2.657408732250232,-0.023866562123442403,-0.009273634421861006,-0.014592927701581397
2025-09-27 08:00:00,2.602,2.628,2.578,2.598,1009490.91,2025-09-27 11:59:59.999,2622959.31408,12750,528147.54,1372220.94007,0.0,2622657.38418,2.6265188299308795,2.653327370661681,-0.02680854073080141,-0.012780615683649087,-0.014027925047152324
2025-09-27 12:00:00,2.597,2.643,2.585,2.617,668348.45,2025-09-27 15:59:59.999,1749643.85914,13668,304311.21,796496.95105,0.0,1749067.89365,2.6252441609294555,2.651626438845299,-0.026382277915843577,-0.015500948130087986,-0.010881329785755591
2025-09-27 16:00:00,2.617,2.634,2.589,2.606,408378.53,2025-09-27 19:59:59.999,1066253.93407,7820,175286.09,458269.47023,0.0,1064234.44918,2.623547340858295,2.650258907343401,-0.026711566485105642,-0.01774307180109152,-0.008968494684014124
2025-09-27 20:00:00,2.607,2.62,2.593,2.598,159925.45,2025-09-27 23:59:59.999,416442.16089,3780,73940.63,192494.13718,0.0,415486.3191,2.622545687701661,2.6496047400955733,-0.027059052393912264,-0.019606267919655668,-0.007452784474256596
2025-09-28 00:00:00,2.598,2.605,2.56,2.579,483241.38,2025-09-28 03:59:59.999,1245761.51276,8376,223221.87,575638.20561,0.0,1246279.51902,2.617197530659681,2.646833691062458,-0.029636160402776834,-0.0216122464162799,-0.008023913986496933
2025-09-28 04:00:00,2.579,2.585,2.555,2.558,342121.63,2025-09-28 07:59:59.999,878938.99259,5723,166408.2,427700.87375,0.0,875147.12954,2.611681222963807,2.6442455541833163,-0.03256433121950941,-0.023802663376925805,-0.008761667842583608
2025-09-28 08:00:00,2.559,2.573,2.539,2.552,486065.53,2025-09-28 11:59:59.999,1240120.27073,9669,258879.3,660506.50815,0.0,1240439.2325600001,2.603606715034429,2.640298257989652,-0.03669154295522281,-0.026380439292585208,-0.010311103662637603
2025-09-28 12:00:00,2.553,2.593,2.532,2.567,543796.77,2025-09-28 15:59:59.999,1394245.23929,8827,289880.92,743285.79878,0.0,1395926.30859,2.598052015055889,2.6366947941621595,-0.03864277910627045,-0.028832907255322258,-0.009809871850948195
2025-09-28 16:00:00,2.568,2.59,2.568,2.578,306188.95,2025-09-28 19:59:59.999,789458.03892,5363,146186.77,376997.57886,0.0,789355.1131,2.596213001507748,2.6349910292912475,-0.0387780277834997,-0.03082193136095775,-0.007956096422541952
2025-09-28 20:00:00,2.579,2.646,2.576,2.64,624564.69,2025-09-28 23:59:59.999,1634034.27494,8503,411364.85,1076182.45906,0.0,1648850.7815999999,2.604141001544439,2.6352920872748404,-0.031151085730401373,-0.030887762234846478,-0.00026332349555489507
2025-09-29 00:00:00,2.641,2.675,2.633,2.675,844010.62,2025-09-29 03:59:59.999,2240147.08003,13084,485704.25,1290263.22387,0.0,2257728.4085,2.6200347923100993,2.6384943433648234,-0.018459551054724077,-0.028402119998822,0.009942568944097924
2025-09-29 04:00:00,2.675,2.684,2.63,2.633,864908.89,2025-09-29 07:59:59.999,2295445.14029,12412,407105.34,1081817.1378,0.0,2277305.10737,2.622804400657039,2.6380441365718683,-0.0152397359148293,-0.02576964318202346,0.01052990726719416
2025-09-29 08:00:00,2.632,2.64,2.593,2.597,669332.52,2025-09-29 11:59:59.999,1750499.57503,12612,265683.49,694797.06064,0.0,1738256.55444,2.618586930593431,2.6354134172711667,-0.016826486677735897,-0.02398101188116595,0.0071545252034300524
2025-09-29 12:00:00,2.597,2.618,2.54,2.58,1549132.79,2025-09-29 15:59:59.999,3996853.52844,23460,696837.26,1799416.00305,0.0,3996762.5982000004,2.606665936734047,2.6277614763863975,-0.02109553965235067,-0.023403917435402894,0.002308377783052224
2025-09-29 16:00:00,2.58,2.597,2.548,2.594,500328.51,2025-09-29 19:59:59.999,1284751.95354,8540,217787.14,559729.81717,0.0,1297852.15494,2.6053299077621217,2.6262100252637346,-0.020880117501612894,-0.022899157448644895,0.0020190399470320017
2025-09-29 20:00:00,2.593,2.616,2.588,2.592,350231.7,2025-09-29 23:59:59.999,911321.04609,7318,169276.72,440543.99598,0.0,907800.5664,2.6042600599023342,2.6250614421718,-0.02080138226946593,-0.022479602412809104,0.0016782201433431752
2025-09-30 00:00:00,2.592,2.592,2.548,2.55,668978.83,2025-09-30 03:59:59.999,1718317.38317,9790,221901.1,570481.50643,0.0,1705896.0164999997,2.595937290800483,2.620199354134448,-0.024262063333964967,-0.02283609459704028,-0.0014259687369246876
2025-09-30 04:00:00,2.55,2.567,2.517,2.524,635458.76,2025-09-30 07:59:59.999,1616598.31203,10565,269119.21,685461.62615,0.0,1603897.91024,2.5853698815726265,2.614205092149501,-0.028835210576874548,-0.024035917793007136,-0.004799292783867412
2025-09-30 08:00:00,2.524,2.537,2.503,2.517,604661.38,2025-09-30 11:59:59.999,1522077.99201,8029,290135.65,730833.75799,0.0,1521932.69346,2.5756769048030663,2.608355230473227,-0.032678325670160824,-0.025764399368437874,-0.0069139263017229495
2025-09-30 12:00:00,2.516,2.52,2.477,2.481,992984.1,2025-09-30 15:59:59.999,2479615.67761,11264,318438.39,795074.13882,0.0,2463593.5521,2.5552475296566066,2.5960728315326667,-0.04082530187606004,-0.028776579869962307,-0.012048722006097731
2025-09-30 16:00:00,2.481,2.518,2.475,2.514,414063.03,2025-09-30 19:59:59.999,1031536.58474,6648,225724.84,562420.66812,0.0,1040954.45742,2.5512829584093506,2.592656583392898,-0.04137362498354724,-0.031295988892679295,-0.010077636090867946
2025-09-30 20:00:00,2.514,2.526,2.49,2.507,241302.59,2025-09-30 23:59:59.999,605385.92632,6015,105097.71,263724.57255,0.0,604945.59313,2.548533524618071,2.590469834934815,-0.04193631031674405,-0.033424053177492245,-0.008512257139251807
2025-10-01 00:00:00,2.507,2.532,2.496,2.504,329381.95,2025-10-01 03:59:59.999,828241.01892,4731,176353.68,443763.98554,0.0,824772.4028,2.5444791276910927,2.587333522015242,-0.04285439432414906,-0.03531012140682361,-0.007544272917325449
2025-10-01 04:00:00,2.504,2.523,2.5,2.513,185319.75,2025-10-01 07:59:59.999,465986.5221,3579,92336.15,232241.98259,0.0,465708.53174999997,2.5426822887257474,2.5857305812264175,-0.043048292500670104,-0.03685775562559291,-0.006190536875077195
2025-10-01 08:00:00,2.512,2.612,2.507,2.576,1009455.9,2025-10-01 11:59:59.999,2597040.71471,13771,600346.05,1544202.06741,0.0,2600358.3984000003,2.551635220353652,2.5846351344672014,-0.03299991411354952,-0.036086187323184235,0.003086273209634713
2025-10-01 12:00:00,2.577,2.585,2.56,2.57,395419.27,2025-10-01 15:59:59.999,1017755.57868,6150,177095.24,455959.79699,0.0,1016227.5239,2.5536670025406494,2.5839698045426958,-0.03030280200204638,-0.034929510258956666,0.004626708256910285
2025-10-01 16:00:00,2.571,2.6,2.564,2.585,557616.2,2025-10-01 19:59:59.999,1439737.28308,7279,281254.67,726516.81128,0.0,1441437.8769999999,2.558544865740219,2.5840365139495667,-0.025491648209347684,-0.03304193784903487,0.007550289639687187
2025-10-01 20:00:00,2.584,2.596,2.558,2.586,515343.26,2025-10-01 23:59:59.999,1326819.53698,7586,247659.44,637896.6401,0.0,1332677.6703599999,2.562534784908148,2.5841557150963355,-0.021620930188187337,-0.030757736316865365,0.009136806128678027
2025-10-02 00:00:00,2.586,2.64,2.583,2.619,892834.27,2025-10-02 03:59:59.999,2332365.71756,10341,575289.54,1502310.86717,0.0,2338332.9531300003,2.5754833328740316,2.587710029001722,-0.012226696127690229,-0.02705152827903034,0.01482483215134011
2025-10-02 04:00:00,2.62,2.637,2.606,2.623,512844.55,2025-10-02 07:59:59.999,1345407.94034,6991,242832.14,637418.46415,0.0,1345191.25465,2.581883888526389,2.5898102584499227,-0.007926369923533905,-0.023226496607931052,0.015300126684397147
2025-10-02 08:00:00,2.622,2.674,2.622,2.662,807348.64,2025-10-02 11:59:59.999,2139516.969,12702,462044.16,1224422.33867,0.0,2149162.07968,2.5979383537118927,2.5964435626592444,0.001494791052648381,-0.018282239075815165,0.019777030128463546
2025-10-02 12:00:00,2.662,2.682,2.614,2.666,1031097.8,2025-10-02 15:59:59.999,2735168.94367,17033,542761.6,1441666.72869,0.0,2748906.7348,2.6137437008587043,2.604267586771961,0.009476114086743426,-0.012730568443303447,0.022206682530046873
2025-10-02 16:00:00,2.666,2.978,2.665,2.978,4205953.98,2025-10-02 19:59:59.999,11903207.86131,102652,2388023.2,6768444.21705,0.0,12525330.952440003,2.8061389562533683,2.7281025132987438,0.07803644295462453,0.005422833836282149,0.07261360911834239
2025-10-02 20:00:00,2.978,3.239,2.976,3.095,9222287.92,2025-10-02 23:59:59.999,28586191.45804,149300,4941758.57,15312321.14769,0.0,28542981.112400003,2.973051435315504,2.889415778315437,0.08363565700006692,0.021065398469039105,0.06257025853102782
2025-10-03 00:00:00,3.095,3.4,2.97,3.356,8535271.83,2025-10-03 03:59:59.999,27016699.55384,134037,4804565.67,15245583.07092,0.0,28644372.26148,3.1213526760311594,3.0318635481392295,0.08948912789192986,0.03475014435361726,0.05473898353831261
2025-10-03 04:00:00,3.357,3.583,3.243,3.272,12158599.83,2025-10-03 07:59:59.999,41221467.12686,229646,6161111.78,20927061.69509,0.0,39782938.643759996,3.1808069396039382,3.1086079242094393,0.07219901539449891,0.04223991856179359,0.02995909683270532
2025-10-03 08:00:00,3.273,3.455,3.209,3.32,6814542.16,2025-10-03 11:59:59.999,22639559.0708,122440,3202293.3,10645264.95897,0.0,22624279.9712,3.209652967859567,3.1428728951351905,0.06678007272437636,0.04714794939431015,0.019632123330066212
2025-10-03 12:00:00,3.32,3.698,3.316,3.633,13918426.46,2025-10-03 15:59:59.999,49104565.06493,208374,7203616.06,25404137.23884,0.0,50565643.32918,3.3508125273387703,3.2719624820286763,0.07885004531009399,0.053488368577466916,0.02536167673262707
2025-10-03 16:00:00,3.633,3.661,3.48,3.615,6800899.17,2025-10-03 19:59:59.999,24290107.7565,108016,3445690.24,12314781.54107,0.0,24585250.49955,3.3934681934292046,3.3138229702225024,0.0796452232067022,0.058719739503313974,0.020925483703388224
2025-10-03 20:00:00,3.613,3.745,3.565,3.629,4622009.01,2025-10-03 23:59:59.999,16824384.12586,72535,2513909.06,9154458.71521,0.0,16773270.69729,3.4205060954161337,3.3397320064331986,0.08077408898293514,0.06313060939923822,0.017643479583696928
2025-10-04 00:00:00,3.628,3.718,3.574,3.601,4829523.15,2025-10-04 03:59:59.999,17603620.98234,88676,2394668.52,8737059.70815,0.0,17391112.86315,3.4429157951214857,3.361911545860964,0.08100424926052163,0.06670533737149491,0.014298911889026725
2025-10-04 04:00:00,3.601,3.645,3.491,3.524,3794195.51,2025-10-04 07:59:59.999,13539370.83964,63437,1817836.71,6489824.53832,0.0,13370744.97724,3.4512967489684283,3.3728021304895774,0.07849461847885086,0.0690631935929661,0.009431424885884762
2025-10-04 08:00:00,3.524,3.526,3.387,3.4,2436657.02,2025-10-04 11:59:59.999,8405430.97069,32473,1169253.9,4034363.89622,0.0,8284633.868,3.4475653375667195,3.3740131501759927,0.07355218739072678,0.06996099235251824,0.003591195038208539
2025-10-04 12:00:00,3.402,3.458,3.329,3.37,2682017.42,2025-10-04 15:59:59.999,9097391.35562,44939,1271030.74,4315961.1905,0.0,9038398.7054,3.4408602587826262,3.3738114097626553,0.06704884901997099,0.0693785636860088,-0.002329714666037805
2025-10-04 16:00:00,3.371,3.526,3.357,3.454,2686725.78,2025-10-04 19:59:59.999,9264297.89285,47116,1472695.94,5078334.40313,0.0,9279950.84412,3.4420801456663113,3.3779476489280524,0.06413249673825883,0.06832935029645881,-0.004196853558199987
2025-10-04 20:00:00,3.454,3.472,3.414,3.422,731010.06,2025-10-04 23:59:59.999,2516226.59815,15202,369611.63,1272800.50455,0.0,2501516.4253200004,3.441498075714204,3.3786053865069103,0.06289268920729363,0.06724201807862577,-0.004349328871332145
2025-10-05 00:00:00,3.423,3.562,3.42,3.523,2066613.67,2025-10-05 03:59:59.999,7220551.69955,33953,1075886.75,3759630.12633,0.0,7280679.95941,3.448694486904929,3.384900940933141,0.06379354597178777,0.06655232365725818,-0.0027587776854704066
2025-10-05 04:00:00,3.524,3.626,3.46,3.488,2210550.19,2025-10-05 07:59:59.999,7833964.70844,34133,1143882.7,4058475.38531,0.0,7710399.06272,3.4526412148603427,3.3898447464423027,0.06279646841803999,0.06580115260941453,-0.0030046841913745487
2025-10-05 08:00:00,3.489,3.493,3.338,3.376,1909999.89,2025-10-05 11:59:59.999,6487985.92175,30263,967535.97,3286869.09219,0.0,6448159.62864,3.445513705578335,3.389251770205549,0.05626193537278601,0.06389330916208884,-0.007631373789302828
2025-10-05 12:00:00,3.377,3.379,3.258,3.269,1499033.99,2025-10-05 15:59:59.999,4965606.87153,27298,743859.4,2464724.03133,0.0,4900342.11331,3.4314968926486666,3.385039090007823,0.04645780264084376,0.06040620785783982,-0.013948405216996064
2025-10-05 16:00:00,3.269,3.31,3.176,3.183,1906064.84,2025-10-05 19:59:59.999,6182404.74538,29637,767393.07,2496200.89069,0.0,6067004.38572,3.4050051378106527,3.375765533086913,0.029239604723739543,0.05417288723101977,-0.024933282507280226
2025-10-05 20:00:00,3.182,3.246,3.17,3.233,1413506.94,2025-10-05 23:59:59.999,4521252.9292,19847,824947.02,2640564.90985,0.0,4569867.93702,3.3903074196823653,3.370703331720939,0.01960408796142632,0.047259127377101084,-0.027655039415674765
2025-10-06 00:00:00,3.232,3.478,3.185,3.47,5305073.9,2025-10-06 03:59:59.999,17764319.39136,74643,2957067.35,9916728.08815,0.0,18408606.433000002,3.412210368194487,3.3831813677024347,0.02902900049205215,0.0436131020000913,-0.014584101508039155
2025-10-06 04:00:00,3.471,3.8,3.402,3.571,12108572.83,2025-10-06 07:59:59.999,43727206.84256,205460,6422870.06,23194374.86325,0.0,43239713.57593,3.4798135546828353,3.4276016244299994,0.05221193025283588,0.04533286765064022,0.00687906260219566
2025-10-06 08:00:00,3.572,3.685,3.546,3.668,5755943.0,2025-10-06 11:59:59.999,20850549.75423,93850,3132918.44,11355027.29309,0.0,21112798.924000002,3.5161359308069997,3.4536303535635353,0.0625055772434644,0.048767409569205056,0.013738167674259338
2025-10-06 12:00:00,3.668,3.933,3.651,3.799,11600372.34,2025-10-06 15:59:59.999,44167093.62414,178590,6069614.19,23125980.71241,0.0,44069814.519659996,3.6052201305631137,3.5194996459112757,0.08572048465183801,0.05615802458573165,0.029562460066106362
2025-10-06 16:00:00,3.798,3.862,3.704,3.834,3877547.49,2025-10-06 19:59:59.999,14731466.51158,63101,1933219.33,7347295.51355,0.0,14866517.076660002,3.630533589103152,3.5397583617823343,0.09077522732081755,0.06308146513274883,0.027693762188068724
2025-10-06 20:00:00,3.834,3.836,3.72,3.774,2070713.93,2025-10-06 23:59:59.999,7791053.46271,32855,969395.65,3647024.61409,0.0,7814874.37182,3.639898042697068,3.5481490844186707,0.09174895827839746,0.06881496376187857,0.022933994516518896
2025-10-07 00:00:00,3.773,3.863,3.68,3.682,2795480.42,2025-10-07 03:59:59.999,10536845.16512,46907,1351602.26,5100521.30464,0.0,10292958.90644,3.6438690182391156,3.5547927423568453,0.0890762758822703,0.07286722618595691,0.016209049696313385
2025-10-07 04:00:00,3.683,4.069,3.667,3.923,8767207.16,2025-10-07 07:59:59.999,34371271.91572,180779,4555717.99,17857978.33149,0.0,34393753.68868,3.716172435612101,3.6077859339242697,0.10838650168783115,0.07997108128633176,0.028415420401499386
2025-10-07 08:00:00,3.922,4.204,3.861,4.185,10025476.51,2025-10-07 11:59:59.999,40737739.07844,208296,5400831.44,21953222.22094,0.0,41956619.19435,3.8377363195868472,3.6948985795365568,0.14283774005029048,0.09254441303912352,0.05029332701116697
